|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1.1|index|Loan_ID|Gender|Married|Dependents|Education|Self_Employed|ApplicantIncome|CoapplicantIncome|LoanAmount|Loan_Amount_Term|Credit_History|Property_Area|Loan_Status
11|11|11|11|11|Allez au boulot ! :)|11|11|11|11|11.0|Allez au boulot ! :)|LP001027|Male|Yes|2|Graduate||2500|1840.0|109.0|360.0|1.0|Urban|Y
12|12|12|12|12|12|12|12|12|12|12.0|12|LP001028|Male|Yes|2|Graduate|No|3073|8106.0|200.0|360.0|1.0|Urban|Y
13|13|13|13|13|13|13|13|13|13|13.0|Allez au boulot ! :)|LP001029|Male|No|0|Graduate|No|1853|2840.0|114.0|360.0|1.0|Rural|N
14|14|14|14|14|14|14|14|14|Allez au boulot ! :)|hello|14|-400|Male|Yes|2|Graduate|No|1299|1086.0|17.0|120.0|1.0|Urban|Y
15|15|15|15|15|15|15|15|15|ù*ùfsfsf///|15.0|15|LP001032|Male|No|0|Graduate|No|4950|0.0|125.0|360.0|1.0|Urban|Y
16|16|16|16|16|16|16|16|16|16|hello|16|LP001034|Male|No|1|Not Graduate|No|3596|0.0|100.0|240.0||Urban|Y
17|17|17|17|17|17|17|17|17|17|17.0|None|LP001036|Female|No|0|Graduate|No|3510|0.0|76.0|360.0|0.0|Urban|N
18|18|18|18|18|18|55555555555|18|Allez au boulot ! :)|18|Allez au boulot ! :)|18|LP001038|Male|Yes|0|Not Graduate|No|4887|0.0|133.0|360.0|1.0|Rural|N
19|19|19|19|19|19|19|19|19|19|19.0|19|LP001041|Male||0|Graduate||2600|3500.0|115.0||1.0|Urban|Y
20|20|20|20|20|20|20|20|20|20|20.0|20|LP001043|None|Yes|0|Not Graduate|No|7660|0.0|104.0|360.0|0.0|Urban|N
21|21|21|21|21|21|21|21|21|21|21.0|21|-400|Male|Yes|1|Graduate|No|5955|5625.0|315.0|360.0|1.0|Urban|Y
22|22|22|22|22|22|22|22|courage!!!|22|22.0|22|LP001047|Male|Yes|0|Not Graduate|No|2600|1911.0|116.0|360.0|0.0|Semiurban|N
23|23|23|23|23|23|23|23|23|Allez au boulot ! :)|23.0|23|LP001050||Yes|2|Not Graduate|No|3365|1917.0|112.0|360.0|0.0|Rural|N
24|24|24|24|24|24|24|24|Allez au boulot ! :)|0|24.0|24|LP001052|Male|Yes|1|Graduate||3717|2925.0|151.0|360.0||Semiurban|N
25|25|25|25|25|25|25|25|25|25|25.0|25|LP001066|Male|hello|0|Graduate|Yes|9560|0.0|191.0|360.0|1.0|Semiurban|Y
26|26|26|26|26|26|26|26|Allez au boulot ! :)|26|26.0|26|LP001068|Male|Yes|0|Graduate|No|2799|2253.0|122.0|360.0|1.0|Semiurban|Y
27|27|27|27|27|27|Allez au boulot ! :)|27|27|27|27.0|27|LP001073|Male|Yes|2|Not Graduate|No|4226|1040.0|110.0|360.0|1.0|Urban|Y
28|28|28|28|28|28|Allez au boulot ! :)|28|28|28|28.0|28|LP001086|Male|No||Not Graduate|No|1442|0.0|35.0|360.0|1.0|Urban|N
29|29|29|29|29|29|29|29|29|29|hello|29|LP001087|Female|No|2|Graduate||3750|2083.0|120.0|360.0|1.0|Semiurban|Y
30|30|30|30|30|30|30|30|30|55555555555|30.0|30|LP001091|Male|Yes|1|Graduate||4166|3369.0|201.0|360.0||Urban|N
31|31|31|31|31|31|31|Allez au boulot ! :)|31|31|31.0|31|LP001095|Male|No|0|Graduate|No|3167|0.0|74.0|360.0|1.0|Urban|N
32|32|32|32|32|32|32|32|Allez au boulot ! :)|ù*ùfsfsf///|32.0|32|LP001097|Male|No|1|Graduate|Yes|4692|0.0|106.0|360.0|1.0|Rural|N
33|33|33|33|33|33|33|55555555555|33|33|33.0|33|-400|Male|Yes||Graduate|No|3500|1667.0|114.0|360.0|1.0|Semiurban|Y
34|34|34|34|34|34|34|34|34|34|34.0|34|LP001100|Male|No|3+|Graduate|No|12500|3000.0|320.0|360.0|1.0|Rural|N
35|35|35|35|35|35|Allez au boulot ! :)|35|35|35|35.0|Allez au boulot ! :)|LP001106|Male|Yes|0|Graduate|No|2275|2067.0||360.0|1.0|Urban|Y
36|36|36|36|36|36|Allez au boulot ! :)|36|36|36|36.0|36|LP001109|Male|hello|0|Graduate|No|1828|1330.0|100.0||0.0|Urban|N
37|37|37|37|37|37|37|37|37|37|37.0|37|LP001112|Female|Yes|0|Graduate|No|3667|1459.0|144.0|360.0|1.0|Semiurban|Y
38|38|38|38|38|38|38|38|38|38|38.0|None|LP001114|Male|No|0|Graduate|No|4166|7210.0|184.0|360.0|1.0|Urban|Y
39|39|39|39|39|39|39|Allez au boulot ! :)|39|39|39.0|39|LP001116|Male|No|0|Not Graduate|No|3748|1668.0|110.0|360.0|1.0|Semiurban|Y
40|40|40|40|40|40|40|40|40|40|40.0|40|LP001119|Male|No|0|Graduate|No|3600|0.0|80.0|360.0|1.0|Urban|N
41|41|41|41|41|41|41|41|41|41|41.0|41|LP001120|None|No|0|Graduate|No|1800|1213.0|47.0|360.0|1.0|Urban|Y
42|42|42|42|42|42|42|42|42|42|42.0|42|LP001123|Male||0|Graduate|No|2400|0.0|75.0|360.0||Urban|Y
43|43|43|43|43|43|43|43|43|43|43.0|43|LP001131|None|Yes|0|Graduate|No|3941|2336.0|134.0|360.0|1.0|Semiurban|Y
44|44|44|44|44|44|44|44|44|44|44.0|44|LP001136|Male|Yes|0|Not Graduate|Yes|4695|0.0|96.0||1.0|Urban|Y
45|45|45|45|45|45|45|45|45|45|45.0|45|LP001137|Female|No|0|Graduate|No|3410|0.0|88.0||1.0|Urban|Y
46|46|46|46|46|46|46|46|46|46|46.0|ù*ùfsfsf///|LP001138|Male|Yes|1|Graduate|No|5649|0.0|44.0|360.0|1.0|Urban|Y
47|47|47|47|47|47|47|47|Allez au boulot ! :)|47|hello|47|LP001144|Male|Yes|0|Graduate|No|5821|0.0|144.0|360.0|1.0|Urban|Y
48|48|48|48|48|48|48|Allez au boulot ! :)|48|Allez au boulot ! :)|48.0|48|LP001146|Female|Yes||Graduate|No|2645|3440.0|120.0|360.0|0.0|Urban|N
49|49|49|49|49|49|49|49|Allez au boulot ! :)|49|49.0|49|LP001151|Female|No|0|Graduate|No|4000|2275.0|144.0|360.0|1.0|Semiurban|Y
50|50|50|50|50|50|50|50|50|ù*ùfsfsf///|hello|50|LP001155|Female|Yes|0|Not Graduate|No|1928|1644.0|100.0|360.0|1.0|Semiurban|Y
51|51|51|51|51|51|51|Allez au boulot ! :)|51|51|51.0|Allez au boulot ! :)|LP001157|ù*ùfsfsf///|No|0|Graduate|No|3086|0.0|120.0|360.0|1.0|Semiurban|Y
52|52|52|52|52|52|52|Allez au boulot ! :)|52|52|52.0|52|LP001164|Female|No|0|Graduate|No|4230|0.0|112.0|360.0|1.0|Semiurban|N
53|53|53|53|53|53|53|53|53|53|hello|53|LP001179|Male|Yes|2|Graduate|No|4616|0.0|134.0|360.0|1.0|Urban|N
54|54|54|54|54|54|54|54|54|54|54.0|54|LP001186|Female|Yes|1|Graduate|Yes|11500|0.0|286.0|360.0|0.0|Urban|N
55|55|55|55|55|55|55|55|55|ù*ùfsfsf///|55.0|55|LP001194|Male|Yes|2|Graduate|No|2708|1167.0|97.0|360.0|1.0|Semiurban|Y
56|56|56|56|56|56|56|56|56|56|56.0|56|LP001195|Male|Yes|0|Graduate|No|2132|1591.0|96.0|360.0|1.0|Semiurban|Y
57|57|57|57|57|57|57|57|57|57|57.0||LP001197|Male|Yes|0|Graduate|No|3366|2200.0|135.0|360.0|1.0|Rural|N
58|58|58|58|58|58|Allez au boulot ! :)|58|58|58|58.0|58|LP001198|Male|Yes|1|Graduate|No|8080|2250.0|180.0|360.0|1.0|Urban|Y
59|59|59|59|59|59|59|59|59|59|59.0|59|LP001199|Male|Yes|2|Not Graduate|No|3357|2859.0|144.0|360.0|1.0|Urban|Y
60|60|60|60|60|60|60|60|60|60|60.0|60|LP001205|Male|Yes|0|Graduate|No|2500|3796.0|120.0|360.0|1.0|Urban|Y
61|61|61|61|61|61|61|61|61|61|Allez au boulot ! :)|61|LP001206|Male|Yes|3+|Graduate|No|3029|0.0|99.0|360.0|1.0|Urban|Y
62|62|62|62|62|62|62|62|62|courage!!!|62.0|62|LP001207|Male|Yes|0|Not Graduate|Yes|2609|3449.0|165.0|180.0|0.0|Rural|N
63|63|63|63|63|Allez au boulot ! :)|63|63|Allez au boulot ! :)|63|63.0|63|LP001213|Male|Yes|1|Graduate|No|4945|0.0||360.0|0.0|Rural|N
64|64|64|64|64|64|64|64|64|64|64.0|Allez au boulot ! :)|LP001222|Female|No|0|Graduate|No|4166|0.0|116.0|360.0|0.0|Semiurban|N
65|65|65|65|65|65|65|Allez au boulot ! :)|65|65|65.0|65|LP001225|Male|Yes|0|Graduate|No|5726|4595.0|258.0|360.0|1.0|Semiurban|N
66|66|66|66|66|66|Allez au boulot ! :)|Allez au boulot ! :)|66|66|66.0|66|LP001228|Male|None|0|Not Graduate|No|3200|2254.0|126.0|180.0|0.0|Urban|N
67|67|67|67|67|67|67|67|67|67|courage!!!|67|LP001233|Male|Yes|1|Graduate|No|10750|0.0|312.0|360.0|1.0|Urban|Y
68|68|68|68|68|68|68|68|68|55555555555|68.0|68|LP001238|Male|Yes|3+|Not Graduate|Yes|7100|0.0|125.0|60.0|1.0|Urban|Y
69|69|69|69|69|69|69|69|69|69|69.0|69|LP001241|Female|No|0|Graduate|No|4300|0.0|136.0|360.0|0.0|Semiurban|N
70|70|70|70|70|70|70|70|70|70|hello|70|LP001243|Male|Yes|0|Graduate|No|3208|3066.0|172.0|360.0|1.0|Urban|Y
71|71|71|71|71|71|71|71|71|71|71.0|71|LP001245|Male|Yes|2|Not Graduate|Yes|1875|1875.0|97.0|360.0|1.0|Semiurban|Y
72|72|72|72|72|72|72|72|72|72|72.0|ù*ùfsfsf///|LP001248|Male|No|0|Graduate|No|3500|0.0|81.0|300.0|1.0|Semiurban|Y
73|73|73|73|73|73|73|73|73|courage!!!|73.0|73|LP001250|Male|Yes|3+|Not Graduate|No|4755|0.0|95.0||0.0|Semiurban|N
74|74|74|74|74|74|74|74|Allez au boulot ! :)|74|74.0|None|LP001253|Male|hello|3+|Graduate|Yes|5266|1774.0|187.0|360.0|1.0|Semiurban|Y
75|75|75|75|75|75|75|75|75|75|75.0|Allez au boulot ! :)|LP001255|Male|No||Graduate|No|3750|0.0|113.0|480.0|1.0|Urban|N
76|76|76|76|76|76|76|76|76|76|76.0|ù*ùfsfsf///|LP001256|Male|No|0|Graduate|No|3750|4750.0|176.0|360.0|1.0|Urban|N
77|77|77|77|77|77|77|77|77|77|77.0|ù*ùfsfsf///|LP001259|Male|Yes|1|Graduate|Yes|1000|3022.0|110.0|360.0|1.0|Urban|N
78|78|78|78|78|78|78|78|78|55555555555|78.0|78|LP001263|None|Yes|3+|Graduate|No|3167|4000.0|180.0|300.0|0.0|Semiurban|N
79|79|79|79|79|79|Allez au boulot ! :)|79|79|79|79.0|ù*ùfsfsf///|LP001264|Male|Yes|3+|Not Graduate|Yes|3333|2166.0|130.0|360.0||Semiurban|Y
80|80|80|80|80|80|80|80|80|80|80.0|80|LP001265|Female|No|0|Graduate|No|3846|0.0|111.0|360.0|1.0|Semiurban|Y
81|81|81|81|81|81|Allez au boulot ! :)|81|81|81|81.0|81|LP001266|Male|Yes|1|Graduate|Yes|2395|0.0||360.0|1.0|Semiurban|Y
82|82|82|82|82|82|82|82|82|82|Allez au boulot ! :)|82|LP001267|Female|hello|2|Graduate|No|1378|1881.0|167.0|360.0|1.0|Urban|N
83|83|83|83|83|83|83|Allez au boulot ! :)|83|Allez au boulot ! :)|83.0|83|LP001273|Male|Yes|0|Graduate|No|6000|2250.0|265.0|360.0||Semiurban|N
84|84|84|84|84|84|84|84|84|84|84.0|84|LP001275|Male|Yes|1|Graduate|No|3988|0.0|50.0|240.0|1.0|Urban|Y
85|85|85|85|85|85|85|85|85|85|85.0|85|LP001279|Male|No|0|Graduate|No|2366|2531.0|136.0|360.0|1.0|Semiurban|Y
86|86|86|86|86|86|86|86|86|86|86.0|None|LP001280|Male|Yes||Not Graduate|No|3333|2000.0|99.0|360.0||Semiurban|Y
87|87|87|87|87|87|87|87|87|87|87.0|Allez au boulot ! :)|LP001282|Male|Yes|0|Graduate|No|2500|2118.0|104.0|360.0|1.0|Semiurban|Y
88|88|88|88|88|Allez au boulot ! :)|88|88|88|88|88.0|88|LP001289|Male|No|0|Graduate|No|8566|0.0|210.0|360.0|1.0|Urban|Y
89|89|89|89|89|89|89|89|89|89|89.0|89|LP001310|Male|Yes|0|Graduate|No|5695|4167.0|175.0|360.0|1.0|Semiurban|Y
90|90|90|90|90|90|90|90|90|90|90.0|90|LP001316|None|Yes||Graduate|No|2958|2900.0|131.0|360.0|1.0|Semiurban|Y
91|91|91|91|91|91|91|91|91|91|91.0|91|LP001318|Male|Yes|2|Graduate|No|6250|5654.0|188.0|180.0|1.0|Semiurban|Y
92|92|92|92|92|92|92|92|92|92|92.0|92|LP001319|Male|Yes|2|Not Graduate|No|3273|1820.0|81.0|360.0|1.0|Urban|Y
93|93|93|93|93|93|93|93|93|93|93.0|93|LP001322|Male|No|0|Graduate|No|4133|0.0|122.0|360.0|1.0|Semiurban|Y
94|94|94|94|94|94|94|94|94|94|94.0|94|LP001325|Male|No|0|Not Graduate|No|3620|0.0|25.0|120.0|1.0|Semiurban|Y
95|95|95|95|95|95|95|95|95|95|95.0|95|LP001326|Male|No|0|Graduate||6782|0.0||360.0||Urban|N
96|96|96|96|96|96|96|96|96|96|96.0|96|LP001327|Female|Yes|0|Graduate|No|2484|2302.0|137.0|360.0|1.0|Semiurban|Y
97|97|97|97|97|97|97|97|97|97|97.0|97|LP001333|Male|Yes|0|Graduate|No|1977|997.0|50.0|360.0|1.0|Semiurban|Y
98|98|98|98|98|98|Allez au boulot ! :)|98|98|98|Allez au boulot ! :)|98|LP001334|ù*ùfsfsf///|Yes|0|Not Graduate|No|4188|0.0|115.0|180.0|1.0|Semiurban|Y
99|99|99|99|99|99|99|99|99|99|99.0|99|LP001343|Male|Yes|0|Graduate|No|1759|3541.0|131.0|360.0|1.0|Semiurban|Y
100|100|100|100|100|100|100|100|100|100|Allez au boulot ! :)|100|LP001345|Male|Yes|2|Not Graduate|No|4288|3263.0|133.0|180.0|1.0|Urban|Y
101|101|101|101|101|101|101|101|Allez au boulot ! :)|101|101.0|Allez au boulot ! :)|LP001349|Male||0|Graduate|No|4843|3806.0|151.0|360.0|1.0|Semiurban|Y
102|102|102|102|102|102|102|102|102|102|102.0|102|LP001350|Male|None||Graduate|No|13650|0.0||360.0|1.0|Urban|Y
103|103|103|103|103|103|103|103|103|103|103.0|103|LP001356|Male|Yes|0|Graduate|No|4652|3583.0||360.0|1.0|Semiurban|Y
104|104|104|104|104|104|104|104|104|ù*ùfsfsf///|104.0|104|LP001357|Male|||Graduate|No|3816|754.0|160.0|360.0|1.0|Urban|Y
105|105|105|105|105|105|105|105|105|105|105.0|105|LP001367|Male|Yes|1|Graduate|No|3052|1030.0|100.0|360.0|1.0|Urban|Y
106|106|106|106|106|106|106|106|106|106|106.0|106|LP001369|Male|Yes|2|Graduate|No|11417|1126.0|225.0|360.0|1.0|Urban|Y
107|107|107|107|107|107|107|courage!!!|107|107|107.0|107|LP001370|Male|No|0|Not Graduate||7333|0.0|120.0|360.0|1.0|Rural|N
108|108|108|108|108|Allez au boulot ! :)|108|108|108|108|108.0|108|LP001379|None|Yes|2|Graduate|No|3800|3600.0|216.0|360.0|0.0|Urban|N
109|109|109|109|109|109|109|Allez au boulot ! :)|109|109|109.0|ù*ùfsfsf///|LP001384|Male|None|3+|Not Graduate|No|2071|754.0|94.0|480.0|1.0|Semiurban|Y
110|110|110|110|110|110|110|110|110|110|110.0|110|LP001385|Male|hello|0|Graduate|No|5316|0.0|136.0|360.0|1.0|Urban|Y
111|111|111|111|111|111|111|111|111|111|111.0|111|LP001387|Female|Yes|0|Graduate||2929|2333.0|139.0|360.0|1.0|Semiurban|Y
112|112|112|112|112|112|112|112|Allez au boulot ! :)|112|112.0|112|LP001391|Male|Yes|0|Not Graduate|No|3572|4114.0|152.0||0.0|Rural|N
113|113|113|113|113|113|113|113|113|113|113.0|113|LP001392|Female|No|1|Graduate|Yes|7451|0.0||360.0|1.0|Semiurban|Y
114|114|114|114|114|114|114|114|114|114|114.0|114|LP001398|Male|No|0|Graduate||5050|0.0|118.0|360.0|1.0|Semiurban|Y
115|115|115|115|115|115|115|115|115|115|115.0|115|LP001401|Male|Yes|1|Graduate|No|14583|0.0|185.0|180.0|1.0|Rural|Y
116|116|116|116|116|116|116|116|116|116|116.0|116|LP001404|Female|Yes|0|Graduate|No|3167|2283.0|154.0|360.0|1.0|Semiurban|Y
117|117|117|117|117|117|117|Allez au boulot ! :)|117|117|117.0|117|LP001405|Male|Yes|1|Graduate|No|2214|1398.0|85.0|360.0||Urban|Y
118|118|118|118|118|118|118|118|118|118|118.0|118|LP001421|Male|Yes|0|Graduate|No|5568|2142.0|175.0|360.0|1.0|Rural|N
119|119|119|119|119|119|Allez au boulot ! :)|119|119|119|119.0|119|LP001422|Female|No|0|Graduate|No|10408|0.0|259.0|360.0|1.0|Urban|Y
120|120|120|120|120|120|Allez au boulot ! :)|120|120|120|120.0|120|LP001426|Male|Yes||Graduate|No|5667|2667.0|180.0|360.0|1.0|Rural|Y
121|121|121|121|121|121|121|Allez au boulot ! :)|121|121|121.0|121|LP001430|Female|No|0|Graduate|No|4166|0.0|44.0|360.0|1.0|Semiurban|Y
122|122|122|122|122|122|122|122|122|122|122.0|Allez au boulot ! :)|LP001431|Female|No|0|Graduate|No|2137|8980.0|137.0|360.0|0.0|Semiurban|Y
123|123|123|123|123|123|123|123|123|123|123.0|123|LP001432|Male|Yes|2|Graduate|No|2957|0.0|81.0|360.0|1.0|Semiurban|Y
124|124|124|124|124|124|124|124|124|124|124.0|124|LP001439|Male|Yes|0|Not Graduate|No|4300|2014.0|194.0|360.0|1.0|Rural|Y
125|125|125|125|125|125|55555555555|125|125|125|125.0|125|LP001443|Female|No|0|Graduate|No|3692|0.0|93.0|360.0||Rural|Y
126|126|126|126|126|126|Allez au boulot ! :)|126|126|126|126.0|126|LP001448||Yes|3+|Graduate|No|23803|0.0|370.0|360.0|1.0|Rural|Y
127|127|127|127|127|127|127|Allez au boulot ! :)|127|127|127.0|127|LP001449|None|No|0|Graduate|No|3865|1640.0||360.0|1.0|Rural|Y
128|128|128|128|128|128|128|128|128|128|128.0|128|LP001451|Male|Yes||Graduate|Yes|10513|3850.0|160.0|180.0|0.0|Urban|N
129|129|129|129|129|129|Allez au boulot ! :)|129|129|129|129.0|Allez au boulot ! :)|LP001465|Male|Yes|0|Graduate|No|6080|2569.0|182.0|360.0||Rural|N
130|130|130|130|130|130|130|courage!!!|130|130|130.0|130|LP001469|Male|No|0|Graduate|Yes|20166|0.0|650.0|480.0||Urban|Y
131|131|131|131|131|131|131|131|Allez au boulot ! :)|131|131.0|None|LP001473|Male||0|Graduate|No|2014|1929.0|74.0|360.0|1.0|Urban|Y
132|132|132|132|132|132|132|132|132|132|132.0|132|LP001478|Male|No|0|Graduate|No|2718|0.0|70.0|360.0|1.0|Semiurban|Y
133|133|133|133|133|133|133|133|133|133|133.0|133|LP001482|Male|Yes|0|Graduate|Yes|3459|0.0|25.0|120.0|1.0|Semiurban|Y
134|134|134|134|134|134|134|134|134|134|134.0|134|LP001487|Male|No|0|Graduate|No|4895|0.0|102.0|360.0|1.0|Semiurban|Y
135|135|135|135|135|135|135|135|Allez au boulot ! :)|135|135.0|135|LP001488|Male|Yes|3+|Graduate|No|4000|7750.0|290.0|360.0|1.0|Semiurban|N
136|136|136|136|136|136|136|136|136|ù*ùfsfsf///||Allez au boulot ! :)|LP001489|Female|Yes|0|Graduate|No|4583|0.0|84.0|360.0|1.0|Rural|N
137|137|137|137|137|137|137|137|137|137|137.0|137|LP001491|Male|Yes|2|Graduate|Yes|3316|3500.0|88.0|360.0|1.0|Urban|Y
138|138|138|138|138|138|138|138|138|138|138.0|None|LP001492|Male|No|0|Graduate|No|14999|0.0|242.0|360.0|0.0|Semiurban|N
139|139|139|139|139|139|139|139|139|139|139.0|139|LP001493|Male|Yes|2|Not Graduate|No|4200|1430.0|129.0|360.0|1.0|Rural|N
140|140|140|140|140|Allez au boulot ! :)|140|140|140|ù*ùfsfsf///|140.0|140|LP001497|Male||2|Graduate|No|5042|2083.0|185.0|360.0|1.0|Rural|N
141|141|141|141|141|141|141|141|141|141|141.0||LP001498|Male|No||Graduate|No|5417|0.0|168.0|360.0|1.0|Urban|Y
142|142|142|142|142|Allez au boulot ! :)|142|142|142|142|142.0|142|LP001504|Male|No|0|Graduate|Yes|6950|0.0|175.0|180.0|1.0|Semiurban|Y
143|143|143|143|143|143|143|143|143|143|143.0|143|LP001507|Male|Yes|0|Graduate|No|2698|2034.0|122.0|360.0|1.0|Semiurban|Y
144|144|144|144|144|144|Allez au boulot ! :)|144|144|144|144.0|144|LP001508|ù*ùfsfsf///|Yes|2|Graduate|No|11757|0.0|187.0|180.0|1.0|Urban|Y
145|145|145|145|145|145|145|145|145|145|145.0|Allez au boulot ! :)|LP001514|Female|Yes|0|Graduate|No|2330|4486.0|100.0|360.0|1.0|Semiurban|Y
146|146|146|146|146|146|146|146|146|146|courage!!!|None|LP001516|Female|Yes|2|Graduate|No|14866|0.0|70.0|360.0|1.0|Urban|Y
147|147|147|147|147|147|147|147|147|147|147.0|147|LP001518|Male|Yes|1|Graduate|No|1538|1425.0|30.0|360.0|1.0|Urban|Y
148|148|148|148|148|148|148|Allez au boulot ! :)|148|148|148.0|148|LP001519|Female||0|Graduate|No|10000|1666.0|225.0|360.0|1.0|Rural|N
149|149|149|149|149|149|149|149|149|149|149.0|149|LP001520|Male|Yes|0|Graduate|No|4860|830.0|125.0|360.0|1.0|Semiurban|Y
150|150|150|150|150|150|Allez au boulot ! :)|150|Allez au boulot ! :)|150|150.0|150|LP001528|None||0|Graduate|No|6277|0.0|118.0|360.0|0.0|Rural|N
151|151|151|151|151|151|Allez au boulot ! :)|151|151|Allez au boulot ! :)|151.0|151|LP001529|Male|Yes|0|Graduate|Yes|2577|3750.0|152.0|360.0|1.0|Rural|Y
152|152|152|152|152|152|152|152|152|152|152.0|ù*ùfsfsf///|LP001531|Male||0|Graduate|No|9166|0.0|244.0|360.0|1.0|Urban|N
153|153|153|153|153|153|153|153|153|Allez au boulot ! :)|Allez au boulot ! :)|153|LP001532|Male|Yes|2|Not Graduate|No|2281|0.0|113.0|360.0|1.0|Rural|N
154|154|154|154|154|154|154|Allez au boulot ! :)|154|154|Allez au boulot ! :)|154|LP001535|Male|No|0|Graduate|No|3254|0.0|50.0|360.0|1.0|Urban|Y
155|155|155|155|155|155|155|155|155|155|155.0|155|LP001536|Male|hello|3+|Graduate|No|39999|0.0|600.0|180.0|0.0|Semiurban|Y
156|156|156|156|156|156|156|156|156|156|156.0|156|LP001541|Male|Yes|1|Graduate|No|6000|0.0|160.0|360.0||Rural|Y
157|157|157|157|157|157|157|157|157|157|157.0|157|LP001543|Male|Yes|1|Graduate|No|9538|0.0|187.0|360.0|1.0|Urban|Y
158|158|158|158|158|158|158|158|158|158|158.0|158|LP001546|Male|hello|0|Graduate||2980|2083.0|120.0|360.0|1.0|Rural|Y
159|159|159|159|159|159|159|159|159|Allez au boulot ! :)|159.0|159|LP001552|Male|Yes|0|Graduate|No|4583|5625.0|255.0|360.0|1.0|Semiurban|Y
160|160|160|160|160|160|160|160|160|160|160.0|None|LP001560|Male|Yes|0|Not Graduate|No|1863|1041.0|98.0|360.0|1.0|Semiurban|Y
161|161|161|161|161|161|Allez au boulot ! :)|161|161|161|161.0|161|LP001562|Male|Yes|0|Graduate|No|7933|0.0|275.0|360.0|1.0|Urban|N
162|162|162|162|162|162|162|162|162|162|162.0|162|LP001565|Male|||Graduate|No|3089|1280.0|121.0|360.0|0.0|Semiurban|N
163|163|163|163|163|163|163|163|163|163|163.0|ù*ùfsfsf///|LP001570|Male|Yes|2|Graduate|No|4167|1447.0|158.0|360.0|1.0|Rural|Y
164|164|164|164|164|164|164|164|164|courage!!!|164.0|164|LP001572|Male|Yes|0|Graduate|No|9323|0.0|75.0|180.0|1.0|Urban|Y
165|165|165|165|165|165|Allez au boulot ! :)|165|165|165|165.0|ù*ùfsfsf///|LP001574|Male|Yes|0|Graduate|No|3707|3166.0|182.0||1.0|Rural|Y
166|166|166|166|166|166|166|166|166|166|166.0|166|LP001577|None|Yes|0|Graduate|No|4583|0.0|112.0|360.0|1.0|Rural|N
167|167|167|167|167|Allez au boulot ! :)|167|167|167|167|167.0|167|LP001578|Male|hello|0|Graduate|No|2439|3333.0|129.0|360.0|1.0|Rural|Y
168|168|168|168|168|168|Allez au boulot ! :)|168|168|168|168.0|168|LP001579|Male|No|0|Graduate|No|2237|0.0|63.0|480.0|0.0|Semiurban|N
169|169|169|169|169|169|169|169|169|0|courage!!!|169|LP001580|Male|Yes|2|Graduate|No|8000|0.0|200.0|360.0|1.0|Semiurban|Y
